,date,stock_symbol,Previous Close,Market Cap (intraday)_current,Intrinsic Market Cap(Mils),Market Cap Per Share,Intrinsic Market Cap Per Share,Enterprise Value_current,Intrinsic Enterprise Value(Mils),Enterprise Value Per Share,Intrinsic Enterprise Value Per Share,Undervalued or Overvalued,Fair Value,recommendationMean,recommendationKey,numberOfAnalystOpinions,currentPrice_divide_targetLowPrice,currentPrice_divide_targetMedianPrice,currentPrice_divide_targetHighPrice,RSI-4,RSI-3,RSI-2,RSI-1,RSI-now,MACD-4,MACD-3,MACD-2,MACD-1,MACD-now,MACD9-4,MACD9-3,MACD9-2,MACD9-1,MACD9-now,MACDhist-4,MACDhist-3,MACDhist-2,MACDhist-1,MACDhist-now,Annualized_return_past10years,Annualized_return_past5years,Annualized_return_since_incep,Annualized_std_since_incep,Annualized_std_since_past10years,Annualized_std_since_past5years
0,10/04/2020,NRG,29.45,6.85B,11485.056894743915,27.340943561906283,45.84121056415708,12.96B,11140.056894743915,51.728266943402254,44.46418493950633,Undervalued,178.0,1.7,buy,10,0.8944117647058824,0.6683516483516484,0.5529090909090909,59.98708077277538,59.98708077277538,59.98708077277538,55.8221060716439,57.57104835392162,0.07626099089233662,0.2615187305962188,0.40368341292152365,0.4482433957926695,0.5123488707396682,-0.5883020038765839,-0.4183378569820234,-0.253933603001314,-0.11349820324251732,0.011671211553919772,0.6645629947689206,0.6798565875782422,0.6576170159228376,0.5617415990351868,0.5006776591857484,4.549513904306313,5.404259737706729,8.028154889828842,38.597932295260904,36.23315328936051,42.90792171717208
1,10/04/2020,BSX,35.13,47.14B,24104.580221878896,33.67142857142857,17.21755730134207,57.21B,23887.580221878896,40.864285714285714,17.062557301342068,Undervalued,100.0,1.5,strong_buy,22,1.0262857142857142,0.8451764705882353,0.6193103448275863,66.84375115190801,66.84375115190801,66.84375115190801,57.9406126251717,60.4282959064105,0.743546289115514,0.9596543555274906,1.11803356020323,1.1001479392488562,1.1302358665438774,-0.22637798233562764,0.010828485236995977,0.23226950023024281,0.4058451880339655,0.5507233237359479,0.9699242714511417,0.9488258702904946,0.8857640599729872,0.6943027512148907,0.5795125428079295,17.209827506126942,14.31512642854036,5.971354986549171,36.32220216841866,29.624055497630952,27.688379610275483
2,10/04/2020,PXD,80.29,12.48B,-6896.030339266123,75.33957138545125,-41.630125802995,14.26B,-7714.030339266123,86.08511922728644,-46.568248350535,Undervalued,68.0,1.8,buy,33,1.2280952380952381,0.7511650485436894,0.3145121951219512,49.01281675292404,49.01281675292404,49.01281675292404,53.52350712310537,51.63275074419781,-1.5251186821857203,-1.3203765274934227,-1.1449189814810268,-0.7495044484914501,-0.5252964303544303,-3.7364598141143355,-3.253243156790153,-2.831578321728328,-2.4151635470809523,-2.037190123735648,2.211341131928615,1.9328666292967305,1.6866593402473011,1.6656590985895021,1.5118936933812175,2.6904297282686063,-15.004523938519899,11.215291786744253,43.76099853876623,40.9202317078801,43.242234621735854
3,10/04/2020,CI,186.22,,0.0,,,,0.0,,,Undervalued,29.0,1.8,buy,25,1.054659090909091,0.7734166666666666,0.6445138888888889,57.01289325757739,57.01289325757739,57.01289325757739,53.33172773723177,58.70489840078129,2.391967549220709,2.8505776618736434,3.1774023636743607,3.0502433424222204,3.5652014500745963,-0.834829542467945,-0.09774810159962743,0.5572819914551702,1.0558742616485803,1.5577396993337835,3.2267970916886544,2.948325763473271,2.6201203722191906,1.99436908077364,2.007461750740813,18.38353428346513,7.224157891920746,10.339274355167372,37.19999684070956,28.745102040712677,31.507475760211367
4,10/04/2020,PWR,33.80,4.64B,7071.25699743878,32.60945955443109,49.69609246917408,6.14B,6906.45699743878,43.15131070349287,48.53789442293049,Undervalued,26.0,1.5,strong_buy,13,0.886842105263158,0.7020833333333334,0.6480769230769231,58.34921148475972,58.34921148475972,58.34921148475972,51.73554950236218,57.54923086228778,0.36372413039965323,0.45903155076611313,0.5284714778251178,0.47873385397875623,0.5443954437973701,-0.31227809101022147,-0.15801616265495455,-0.020718634558940074,0.0791718631485992,0.1722165792783534,0.6760022214098746,0.6170477134210677,0.5491901123840579,0.39956199083015703,0.3721788645190167,5.793145371335062,3.1224028578614726,-0.8471719680828604,52.06470789284164,31.924632390223092,33.16226031649019
5,10/04/2020,GOOG,"1,210.28",,0.0,,,,0.0,,,Undervalued,24.0,1.7,buy,13,0.9763307692307692,0.8033101265822785,0.7410436955557113,56.46144543072823,56.46144543072823,56.46144543072823,57.383322448398516,64.27271498960141,-2.1533315267570288,1.6873265151200485,4.677160291347263,7.453729087065312,13.665984079869304,-22.110599644999184,-17.351014412975335,-12.945379472110817,-8.865557760275593,-4.359249392246614,19.957268118242155,19.038340928095383,17.62253976345808,16.319286847340905,18.025233472115918,,19.353049736198578,14.521474028528791,25.891241691156168,25.891241691156168,26.780203018839686
6,10/04/2020,GOOGL,"1,207.00",814.10B,391073.00511195173,2715.2052829936965,1304.3157959909006,710.40B,271393.00511195173,2369.3426274889102,905.1562722607869,Undervalued,24.0,1.8,buy,36,1.012184,0.8491476510067114,0.7029055555555556,56.16107208039787,56.16107208039787,56.16107208039787,56.742008247221236,64.06346050180377,-2.5916726793252565,1.2007340339623624,4.15830927617958,6.73443450268951,13.04912595362839,-22.3132295744312,-17.61043685275249,-13.256687626966075,-9.258463201034958,-4.796945370102289,19.721556895105945,18.81117088671485,17.414996903145656,15.992897703724468,17.84607132373068,16.44958714658131,18.88603278137475,22.85939720365222,30.574877201499117,25.77644326228064,26.619092237937167
7,10/04/2020,CNC,65.15,35.30B,19790.739494791287,60.15575740018064,33.72597517900391,36.04B,6800.739494791285,61.41681293774816,11.589338107379366,Undervalued,23.0,1.7,buy,19,1.053968253968254,0.8097560975609757,0.7063829787234043,65.56944133498038,65.56944133498038,65.56944133498038,62.114815503863085,64.11863878621315,2.0934130443233556,2.425535872472288,2.658104631022333,2.7087142893618648,2.817212291885859,0.624164824277017,0.9844390339160713,1.3191721533373237,1.5970805805422321,1.8411069228109578,1.4692482200463386,1.4410968385562168,1.3389324776850091,1.1116337088196326,0.9761053690749013,26.933764967480144,14.27374041649574,23.251197162927294,43.147728204470255,37.997050390671966,38.187254739673435
8,10/04/2020,HCA,108.06,33.38B,38150.722487997504,98.62026176618313,112.71522583389223,68.33B,37382.722487997504,201.87904393299257,110.4461916506559,Undervalued,22.0,1.8,buy,21,1.1033333333333335,0.7033750000000001,0.6149726775956285,62.2766733153648,62.2766733153648,62.2766733153648,56.232980039059214,63.82072898519473,0.18631425000992863,1.1204097245952909,1.839482706397547,2.02691045332071,2.8630215319263783,-4.072325365631154,-3.0337783475858653,-2.0591261367891827,-1.2419188187672043,-0.4209307486284878,4.258639615641083,4.154188072181157,3.8986088431867296,3.268829272087914,3.283952280554866,,8.194173179893326,18.43323401228565,34.1963549483502,34.1963549483502,33.1469539737347
9,10/04/2020,LKQ,22.00,,0.0,,,,0.0,,,Undervalued,21.0,1.4,strong_buy,9,0.7940740740740742,0.5642105263157895,0.4872727272727273,55.91688884398836,55.91688884398836,55.91688884398836,50.25845121288873,50.70984073832891,-0.44088844801107285,-0.2505687570439399,-0.09860240364183781,-0.07334554666136839,-0.044744356187649714,-1.2071066541704716,-1.0157990747451653,-0.8323597405244998,-0.6805569017518736,-0.5533943926390288,0.7662182061593987,0.7652303177012254,0.733757336882662,0.6072113550905052,0.5086500364513791,7.695768832187988,-3.19541226449932,15.869763190070007,36.61919819027185,31.98267561808862,33.96330569933923
